연도,봉투구분,봉투재질,봉투용량(L),연간 판매량
2020,일반,고밀도,5,407793
2020,일반,고밀도,10,1376407
2020,일반,고밀도,20,1423917
2020,일반,선형저밀도,50,591879
2020,일반,선형저밀도,100,262544
2020,불연성,고밀도,5,1272
2020,불연성,고밀도,10,20483
2020,불연성,선형저밀도,100,3612
2020,사업계,선형저밀도,60,64425
2020,사업계,선형저밀도,125,46875
2020,재사용,고밀도,10,490996
2020,재사용,고밀도,20,2090366
2020,스티커,폐기물스티커,,77571
2020,스티커,폐기물스티커,,60686
2020,스티커,폐기물스티커,,59241
2020,스티커,폐기물스티커,,28012
2020,음식물(신),고밀도,1,68787
2020,음식물(신),고밀도,2,667053
2020,음식물(신),고밀도,3,645587
2020,음식물(신),고밀도,5,278424
2020,음식물(신),고밀도,10,136392
2020,음식물(신),고밀도,20,110123
